Posted On,BHK,Size,Bathroom,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Floor Level,Total Floors,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family
2022-05-11,3,1600.0,2,False,False,0,4.0,True,False,False,True,False,False,False,True,False
2022-05-31,2,736.0,2,False,True,16,36.0,True,False,False,False,False,False,True,False,True
2022-07-06,1,300.0,1,False,True,1,2.0,False,True,False,False,True,False,False,True,False
2022-06-23,1,200.0,1,True,False,2,3.0,False,True,False,False,False,False,False,True,False
2022-05-06,3,1400.0,3,True,False,1,2.0,False,True,True,False,False,False,False,True,False
2022-06-18,2,900.0,2,True,False,2,4.0,False,True,False,False,True,False,False,True,False
2022-05-04,2,1000.0,1,False,True,0,1.0,False,True,False,False,False,True,False,True,False
2022-06-12,2,750.0,2,False,True,4,5.0,True,False,False,False,False,False,False,True,False
2022-06-01,2,600.0,2,True,False,2,4.0,True,False,False,False,False,False,False,False,False
2022-07-02,2,650.0,2,True,False,0,3.0,False,True,False,False,False,True,False,True,False
2022-06-08,2,500.0,1,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-19,1,225.0,1,True,False,4,7.0,True,False,False,False,False,False,True,False,False
2022-07-03,2,850.0,2,False,True,1,1.0,True,False,False,False,False,True,False,False,False
2022-05-10,1,400.0,1,False,True,2,3.0,False,True,False,False,False,False,False,True,False
2022-06-23,2,700.0,2,False,False,3,4.0,True,False,False,False,False,False,True,False,False
2022-04-27,1,600.0,1,False,True,1,2.0,False,True,False,False,False,False,False,True,False
2022-06-04,2,800.0,2,False,True,1,3.0,True,False,False,False,True,False,False,False,False
2022-06-04,3,1900.0,3,False,True,6,16.0,True,False,False,False,False,False,False,False,False
2022-06-30,2,650.0,2,False,True,2,3.0,True,False,False,False,False,False,False,False,True
2022-05-30,1,450.0,1,False,True,2,2.0,True,False,True,False,False,False,False,True,False
2022-07-07,2,900.0,2,True,False,60,71.0,True,False,False,False,False,False,True,False,False
2022-07-03,2,550.0,2,False,False,1,2.0,True,False,False,False,False,True,False,True,False
2022-05-12,3,1400.0,2,False,False,2,4.0,True,False,False,False,False,False,False,True,False
