Posted On,BHK,Rent,Size,Bathroom,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Floor Level,Total Floors,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family
2022-05-18,2,10000,1100.0,2,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-13,2,20000,800.0,1,True,False,1,3.0,False,True,False,False,False,True,False,True,False
2022-05-16,2,17000,1000.0,1,True,False,1,3.0,False,True,False,False,False,True,False,True,False
2022-07-04,2,10000,800.0,1,False,True,1,2.0,False,True,False,False,False,True,False,True,False
2022-05-09,2,7500,850.0,1,False,True,1,2.0,True,False,False,False,False,True,False,False,False
2022-04-29,2,7000,600.0,2,False,True,0,1.0,False,True,False,False,False,True,False,True,False
2022-06-21,2,10000,700.0,2,False,True,0,4.0,False,True,False,False,False,True,False,False,False
2022-06-21,1,5000,250.0,1,False,True,1,2.0,False,True,False,False,False,True,False,False,False
2022-06-07,2,26000,800.0,2,False,True,1,2.0,True,False,False,False,False,True,False,False,False
2022-06-20,2,10000,1000.0,2,True,False,1,3.0,True,False,False,False,False,True,False,True,False
2022-05-23,3,25000,1200.0,2,True,False,1,4.0,True,False,False,False,False,True,False,True,False
2022-06-07,1,5000,400.0,1,False,True,1,1.0,True,False,False,False,False,True,False,True,False
2022-05-14,1,6500,250.0,1,False,False,1,4.0,True,False,False,False,False,True,False,False,False
2022-05-09,1,5500,375.0,1,False,True,1,2.0,True,False,False,False,False,True,False,True,False
2022-05-05,3,8500,900.0,2,False,True,0,2.0,True,False,False,False,False,True,False,False,False
2022-06-01,3,40000,1286.0,2,False,False,1,1.0,True,False,False,False,False,True,False,True,False
2022-05-17,2,6000,600.0,1,True,False,1,2.0,False,True,False,False,False,True,False,True,False
2022-06-20,2,10000,800.0,1,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-09,2,11000,2000.0,1,False,True,0,3.0,True,False,False,False,False,True,False,True,False
2022-06-09,2,6000,660.0,1,False,True,1,2.0,False,True,False,False,False,True,False,True,False
2022-07-02,2,7900,650.0,1,False,True,1,2.0,True,False,False,False,False,True,False,False,True
2022-06-14,2,9000,400.0,2,False,True,2,3.0,True,False,False,False,False,True,False,False,False
2022-06-15,1,4000,300.0,1,False,True,0,4.0,True,False,False,False,False,True,False,True,False
2022-06-15,3,6500,1600.0,1,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-28,1,8000,400.0,1,True,False,1,2.0,False,True,False,False,False,True,False,False,False
2022-05-22,2,7000,1000.0,1,False,True,1,1.0,False,True,False,False,False,True,False,True,False
2022-06-18,1,5300,355.0,1,True,False,1,1.0,True,False,False,False,False,True,False,True,False
2022-06-25,2,6000,1000.0,1,True,False,0,3.0,False,True,False,False,False,True,False,True,False
2022-06-22,2,8500,800.0,1,False,True,4,5.0,False,True,False,False,False,True,False,True,False
2022-06-25,2,12500,850.0,2,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-21,1,7500,350.0,1,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-26,2,15000,900.0,2,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-16,2,6000,550.0,1,True,False,1,1.0,False,True,False,False,False,True,False,True,False
2022-06-29,2,5000,500.0,2,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-05-10,3,22000,1100.0,1,False,True,2,3.0,True,False,False,False,False,True,False,True,False
2022-05-12,2,15000,850.0,1,True,False,1,2.0,True,False,False,False,False,True,False,True,False
2022-06-03,2,12500,800.0,1,False,True,2,2.0,True,False,False,False,False,True,False,False,False
2022-05-31,2,7000,630.0,1,False,True,0,3.0,True,False,False,False,False,True,False,False,False
2022-06-10,2,21000,900.0,2,True,False,1,2.0,True,False,False,False,False,True,False,False,False
2022-06-24,1,10000,270.0,1,True,False,1,2.0,True,False,False,False,False,True,False,True,False
2022-06-29,2,7200,630.0,1,True,False,0,1.0,True,False,False,False,False,True,False,True,False
2022-05-12,3,12000,1500.0,2,False,False,0,2.0,True,False,False,False,False,True,False,False,False
2022-06-26,1,5000,600.0,1,False,True,2,5.0,False,True,False,False,False,True,False,True,False
2022-04-30,2,8500,700.0,1,True,False,4,14.0,True,False,False,False,False,True,False,True,False
2022-05-27,1,6000,300.0,1,True,False,0,3.0,False,True,False,False,False,True,False,True,False
2022-06-06,2,10000,1300.0,2,True,False,0,1.0,False,True,False,False,False,True,False,False,True
2022-05-20,2,4600,400.0,1,True,False,3,3.0,True,False,False,False,False,True,False,False,False
2022-07-02,2,12000,650.0,2,False,True,0,1.0,False,True,False,False,False,True,False,False,True
2022-05-26,3,30000,2000.0,2,True,False,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-12,3,15000,1068.0,2,True,False,0,3.0,False,True,False,False,False,True,False,True,False
2022-06-22,1,7500,150.0,1,False,False,1,1.0,False,True,False,False,False,True,False,True,False
2022-06-25,1,7500,450.0,1,False,True,2,2.0,True,False,False,False,False,True,False,False,False
2022-07-03,2,5000,800.0,1,False,True,0,1.0,True,False,False,False,False,True,False,True,False
2022-04-23,2,15000,1000.0,2,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-14,2,11000,900.0,1,True,False,5,5.0,False,True,False,False,False,True,False,False,False
2022-05-27,1,7000,600.0,1,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-19,2,6000,1200.0,1,False,True,1,1.0,False,True,False,False,False,True,False,True,False
2022-06-19,2,6000,1200.0,2,True,False,2,2.0,False,True,False,False,False,True,False,False,False
2022-07-02,2,7000,650.0,2,True,False,0,3.0,False,True,False,False,False,True,False,True,False
2022-07-06,2,8500,720.0,2,True,False,4,4.0,True,False,False,False,False,True,False,True,False
2022-07-02,1,5000,300.0,1,False,True,1,3.0,True,False,False,False,False,True,False,False,False
2022-06-21,3,30000,1200.0,3,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-04,2,10000,700.0,2,False,True,7,8.0,True,False,False,False,False,True,False,True,False
2022-06-24,3,30000,2000.0,2,True,False,1,3.0,False,True,False,False,False,True,False,True,False
2022-05-14,1,3500,250.0,1,True,False,0,4.0,False,True,False,False,False,True,False,True,False
2022-06-26,2,8000,1100.0,1,False,True,0,3.0,True,False,False,False,False,True,False,False,False
2022-07-02,1,5000,300.0,1,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-05-05,2,7500,600.0,1,True,False,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-18,2,6500,800.0,1,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-07,1,7500,680.0,1,False,True,1,3.0,False,True,False,False,False,True,False,True,False
2022-06-07,1,7500,680.0,1,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-26,2,16000,850.0,1,True,False,1,4.0,True,False,False,False,False,True,False,False,False
2022-06-26,2,16000,850.0,1,True,False,1,2.0,True,False,False,False,False,True,False,False,False
2022-05-30,2,6500,700.0,1,False,True,0,2.0,False,True,False,False,False,True,False,False,False
2022-05-22,3,40000,1500.0,2,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-18,2,12500,950.0,2,True,False,1,4.0,False,True,False,False,False,True,False,True,False
2022-06-08,2,5500,500.0,1,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-25,1,5000,450.0,1,True,False,2,4.0,True,False,False,False,False,True,False,True,False
2022-05-03,2,6500,700.0,1,False,True,0,2.0,False,True,False,False,False,True,False,False,False
2022-05-12,1,8000,500.0,1,False,True,1,2.0,False,True,False,False,False,True,False,True,False
2022-06-01,3,14500,1800.0,2,True,False,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-23,1,8200,500.0,1,True,False,1,3.0,True,False,False,False,False,True,False,True,False
2022-05-23,2,15000,480.0,2,False,False,0,3.0,True,False,False,False,False,True,False,True,False
2022-06-21,6,20000,1000.0,2,True,False,1,1.0,False,True,False,False,False,True,False,True,False
2022-06-22,2,6700,800.0,1,False,False,1,2.0,False,True,False,False,False,True,False,True,False
2022-05-27,1,10000,435.0,1,False,True,2,3.0,False,True,False,False,False,True,False,True,False
2022-05-07,2,7000,700.0,2,True,False,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-25,2,22000,800.0,1,False,False,4,4.0,False,True,False,False,False,True,False,True,False
2022-06-27,2,6500,450.0,1,False,True,1,3.0,False,True,False,False,False,True,False,True,False
2022-05-31,2,8500,550.0,1,True,False,2,3.0,True,False,False,False,False,True,False,True,False
2022-06-03,2,18000,800.0,2,False,True,0,4.0,True,False,False,False,False,True,False,False,False
2022-06-27,2,12000,550.0,2,True,False,0,2.0,True,False,False,False,False,True,False,False,True
2022-05-15,1,9000,600.0,1,False,False,2,4.0,False,True,False,False,False,True,False,True,False
2022-06-09,1,6000,500.0,1,False,True,0,1.0,False,True,False,False,False,True,False,True,False
2022-04-28,2,20000,1000.0,2,False,False,1,2.0,False,True,False,False,False,True,False,True,False
2022-05-23,1,5000,300.0,1,False,True,1,2.0,True,False,False,False,False,True,False,True,False
2022-06-28,2,12000,1200.0,2,False,False,1,3.0,False,True,False,False,False,True,False,True,False
2022-06-23,2,10000,500.0,1,True,False,3,4.0,True,False,False,False,False,True,False,True,False
2022-04-29,4,18000,1200.0,2,False,True,1,2.0,False,True,False,False,False,True,False,False,True
2022-06-13,2,15000,900.0,2,True,False,1,2.0,True,False,False,False,False,True,False,True,False
2022-06-13,3,22000,1300.0,3,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-13,4,35000,1600.0,3,False,True,1,5.0,True,False,False,False,False,True,False,True,False
2022-05-14,3,21000,1450.0,2,False,True,0,1.0,False,True,False,False,False,True,False,False,True
2022-07-06,2,25000,1100.0,2,False,False,2,2.0,False,True,False,False,False,True,False,False,False
2022-06-16,2,180000,950.0,2,False,True,0,1.0,True,False,False,False,False,True,False,True,False
2022-06-06,1,6000,600.0,1,False,True,8,5.0,True,False,False,False,False,True,False,True,False
2022-07-04,2,14000,700.0,2,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-05-15,3,8000,750.0,1,False,True,0,2.0,False,True,False,False,False,True,False,False,True
2022-05-04,2,8000,1000.0,1,False,True,0,1.0,False,True,False,False,False,True,False,True,False
2022-04-25,1,6000,220.0,1,False,False,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-21,1,8000,300.0,1,True,False,1,3.0,True,False,False,False,False,True,False,False,False
2022-06-27,1,6000,300.0,1,False,True,0,1.0,True,False,False,False,False,True,False,True,False
2022-07-02,1,20000,700.0,1,True,False,1,2.0,False,True,False,False,False,True,False,True,False
2022-07-06,3,12000,800.0,2,False,True,0,1.0,False,True,False,False,False,True,False,True,False
