Posted On,BHK,Rent,Size,Bathroom,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Floor Level,Total Floors,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Rent_Log,City,Furnishing Status,Tenant Preferred
2022-05-18,2,10000,1100.0,2,False,True,0,2.0,False,True,False,False,False,True,False,True,False,9.210440366976517,Kolkata,Unfurnished,Bachelors/Family
2022-05-13,2,20000,800.0,1,True,False,1,3.0,False,True,False,False,False,True,False,True,False,9.90353755128617,Kolkata,Semi-Furnished,Bachelors/Family
2022-05-16,2,17000,1000.0,1,True,False,1,3.0,False,True,False,False,False,True,False,True,False,9.741027444837728,Kolkata,Semi-Furnished,Bachelors/Family
2022-07-04,2,10000,800.0,1,False,True,1,2.0,False,True,False,False,False,True,False,True,False,9.210440366976517,Kolkata,Unfurnished,Bachelors/Family
2022-05-09,2,7500,850.0,1,False,True,1,2.0,True,False,False,False,False,True,False,False,False,8.922791623969637,Kolkata,Unfurnished,Bachelors
2022-04-29,2,7000,600.0,2,False,True,0,1.0,False,True,False,False,False,True,False,True,False,8.853808274977197,Kolkata,Unfurnished,Bachelors/Family
2022-06-21,2,10000,700.0,2,False,True,0,4.0,False,True,False,False,False,True,False,False,False,9.210440366976517,Kolkata,Unfurnished,Bachelors
2022-06-21,1,5000,250.0,1,False,True,1,2.0,False,True,False,False,False,True,False,False,False,8.517393171418904,Kolkata,Unfurnished,Bachelors
2022-06-07,2,26000,800.0,2,False,True,1,2.0,True,False,False,False,False,True,False,False,False,10.165890277802454,Kolkata,Unfurnished,Bachelors
2022-06-20,2,10000,1000.0,2,True,False,1,3.0,True,False,False,False,False,True,False,True,False,9.210440366976517,Kolkata,Semi-Furnished,Bachelors/Family
2022-05-23,3,25000,1200.0,2,True,False,1,4.0,True,False,False,False,False,True,False,True,False,10.12667110305036,Kolkata,Semi-Furnished,Bachelors/Family
2022-06-07,1,5000,400.0,1,False,True,1,1.0,True,False,False,False,False,True,False,True,False,8.517393171418904,Kolkata,Unfurnished,Bachelors/Family
2022-05-14,1,6500,250.0,1,False,False,1,4.0,True,False,False,False,False,True,False,False,False,8.77971129020447,Kolkata,Furnished,Bachelors
2022-05-09,1,5500,375.0,1,False,True,1,2.0,True,False,False,False,False,True,False,True,False,8.612685172875459,Kolkata,Unfurnished,Bachelors/Family
2022-05-05,3,8500,900.0,2,False,True,0,2.0,True,False,False,False,False,True,False,False,False,9.04793908261736,Kolkata,Unfurnished,Bachelors
2022-06-01,3,40000,1286.0,2,False,False,1,1.0,True,False,False,False,False,True,False,True,False,10.596659732783579,Kolkata,Furnished,Bachelors/Family
2022-05-17,2,6000,600.0,1,True,False,1,2.0,False,True,False,False,False,True,False,True,False,8.699681400989514,Kolkata,Semi-Furnished,Bachelors/Family
